ensembl_gene_id mgi_symbol Symbol
ENSMUSG00000038459 Abhd17c Abhd17c
ENSMUSG00000039202 Abhd2 Abhd2
ENSMUSG00000002475 Abhd3 Abhd3
ENSMUSG00000040997 Abhd4 Abhd4
ENSMUSG00000032540 Abhd5 Abhd5
ENSMUSG00000026782 Abi2 Abi2
ENSMUSG00000026842 Abl1 Abl1
ENSMUSG00000029095 Ablim2 Ablim2
ENSMUSG00000030083 Abtb1 Abtb1
ENSMUSG00000032724 Abtb2 Abtb2
ENSMUSG00000036138 Acaa1a Acaa1a
ENSMUSG00000020532 Acaca Acaca
ENSMUSG00000042647 Acad12 Acad12
ENSMUSG00000026003 Acadl Acadl
ENSMUSG00000062908 Acadm Acadm
ENSMUSG00000049076 Acap2 Acap2
ENSMUSG00000023832 Acat2 Acat2
ENSMUSG00000026781 Acbd5 Acbd5
ENSMUSG00000020917 Acly Acly
ENSMUSG00000028405 Aco1 Aco1
ENSMUSG00000022477 Aco2 Aco2
ENSMUSG00000072949 Acot1 Acot1
ENSMUSG00000006717 Acot13 Acot13
ENSMUSG00000021226 Acot2 Acot2
ENSMUSG00000043487 Acot6 Acot6
ENSMUSG00000028937 Acot7 Acot7
ENSMUSG00000017307 Acot8 Acot8
ENSMUSG00000032281 Acsbg1 Acsbg1
ENSMUSG00000018796 Acsl1 Acsl1
ENSMUSG00000032883 Acsl3 Acsl3
ENSMUSG00000027452 Acss1 Acss1
ENSMUSG00000027605 Acss2 Acss2
ENSMUSG00000035783 Acta2 Acta2
ENSMUSG00000029580 Actb Actb
ENSMUSG00000027671 Actl6a Actl6a
ENSMUSG00000054808 Actn4 Actn4
ENSMUSG00000025228 Actr1a Actr1a
ENSMUSG00000037761 Actr5 Actr5
ENSMUSG00000019948 Actr6 Actr6
ENSMUSG00000015971 Actr8 Actr8
ENSMUSG00000061393 Acvr2b Acvr2b
ENSMUSG00000023262 Acy1 Acy1
ENSMUSG00000008822 Acyp1 Acyp1
ENSMUSG00000060923 Acyp2 Acyp2
ENSMUSG00000054693 Adam10 Adam10
ENSMUSG00000028041 Adam15 Adam15
ENSMUSG00000052593 Adam17 Adam17
ENSMUSG00000011256 Adam19 Adam19
ENSMUSG00000040537 Adam22 Adam22
ENSMUSG00000025964 Adam23 Adam23
ENSMUSG00000031555 Adam9 Adam9
ENSMUSG00000022893 Adamts1 Adamts1
ENSMUSG00000036545 Adamts2 Adamts2
ENSMUSG00000022449 Adamts20 Adamts20
ENSMUSG00000006403 Adamts4 Adamts4
ENSMUSG00000066113 Adamtsl1 Adamtsl1
ENSMUSG00000056413 Adap1 Adap1
ENSMUSG00000031949 Adat1 Adat1
ENSMUSG00000019808 Adat2 Adat2
ENSMUSG00000022840 Adcy5 Adcy5
ENSMUSG00000005580 Adcy9 Adcy9
ENSMUSG00000029106 Add1 Add1
ENSMUSG00000025026 Add3 Add3
ENSMUSG00000034730 Adgrb1 Adgrb1
ENSMUSG00000002885 Adgre5 Adgre5
ENSMUSG00000031785 Adgrg1 Adgrg1
ENSMUSG00000031298 Adgrg2 Adgrg2
ENSMUSG00000069170 Adgrv1 Adgrv1
ENSMUSG00000028138 Adh5 Adh5
ENSMUSG00000025911 Adhfe1 Adhfe1
ENSMUSG00000020629 Adi1 Adi1
ENSMUSG00000026457 Adipor1 Adipor1
ENSMUSG00000030168 Adipor2 Adipor2
ENSMUSG00000039197 Adk Adk
ENSMUSG00000057134 Ado Ado
ENSMUSG00000042429 Adora1 Adora1
ENSMUSG00000025236 Adpgk Adpgk
ENSMUSG00000050541 Adra1b Adra1b
ENSMUSG00000011148 Adssl1 Adssl1
ENSMUSG00000020473 Aebp1 Aebp1
ENSMUSG00000030232 Aebp2 Aebp2
ENSMUSG00000029094 Afap1 Afap1
ENSMUSG00000033032 Afap1l1 Afap1l1
ENSMUSG00000025083 Afap1l2 Afap1l2
ENSMUSG00000029313 Aff1 Aff1
ENSMUSG00000031967 Afg3l1 Afg3l1
ENSMUSG00000031521 Aga Aga
ENSMUSG00000055013 Agap1 Agap1
ENSMUSG00000040812 Agbl2 Agbl2
ENSMUSG00000038836 Agbl3 Agbl3
ENSMUSG00000026159 Agfg1 Agfg1
ENSMUSG00000028842 Ago3 Ago3
ENSMUSG00000001211 Agpat3 Agpat3
ENSMUSG00000023827 Agpat4 Agpat4
ENSMUSG00000031467 Agpat5 Agpat5
ENSMUSG00000042410 Agps Agps
ENSMUSG00000031980 Agt Agt
ENSMUSG00000021557 Agtpbp1 Agtpbp1
ENSMUSG00000027893 Ahcyl1 Ahcyl1
ENSMUSG00000021037 Ahsa1 Ahsa1
ENSMUSG00000020288 Ahsa2 Ahsa2
ENSMUSG00000062753 AI413582 AI413582
ENSMUSG00000010290 AI597479 AI597479
ENSMUSG00000024397 Aif1 Aif1
ENSMUSG00000001864 Aif1l Aif1l
ENSMUSG00000019806 Aig1 Aig1
ENSMUSG00000037860 Aim2 Aim2
ENSMUSG00000028029 Aimp1 Aimp1
ENSMUSG00000024847 Aip Aip
ENSMUSG00000026817 Ak1 Ak1
ENSMUSG00000024782 Ak3 Ak3
ENSMUSG00000022016 Akap11 Akap11
ENSMUSG00000061603 Akap6 Akap6
ENSMUSG00000028692 Akr1a1 Akr1a1
ENSMUSG00000028743 Akr7a5 Akr7a5
ENSMUSG00000031667 Aktip Aktip
ENSMUSG00000022636 Alcam Alcam
ENSMUSG00000007833 Aldh16a1 Aldh16a1
ENSMUSG00000053279 Aldh1a1 Aldh1a1
ENSMUSG00000020256 Aldh1l2 Aldh1l2
ENSMUSG00000010025 Aldh3a2 Aldh3a2
ENSMUSG00000024885 Aldh3b1 Aldh3b1
ENSMUSG00000035936 Aldh5a1 Aldh5a1
ENSMUSG00000021238 Aldh6a1 Aldh6a1
ENSMUSG00000026687 Aldh9a1 Aldh9a1
ENSMUSG00000030695 Aldoa Aldoa
ENSMUSG00000114515 Aldoa Aldoa
ENSMUSG00000017390 Aldoc Aldoc
ENSMUSG00000035845 Alg12 Alg12
ENSMUSG00000041718 Alg13 Alg13
ENSMUSG00000039887 Alg14 Alg14
ENSMUSG00000036632 Alg5 Alg5
ENSMUSG00000042650 Alkbh5 Alkbh5
ENSMUSG00000075232 Amd1 Amd1
ENSMUSG00000050332 Amer1 Amer1
ENSMUSG00000021986 Amer2 Amer2
ENSMUSG00000031751 Amfr Amfr
ENSMUSG00000068250 Amn1 Amn1
ENSMUSG00000032531 Amotl2 Amotl2
ENSMUSG00000021314 Amph Amph
ENSMUSG00000050022 Amz1 Amz1
ENSMUSG00000025135 Anapc11 Anapc11
ENSMUSG00000035048 Anapc13 Anapc13
ENSMUSG00000020107 Anapc16 Anapc16
ENSMUSG00000026965 Anapc2 Anapc2
ENSMUSG00000029472 Anapc5 Anapc5
ENSMUSG00000022265 Ank Ank
ENSMUSG00000032826 Ank2 Ank2
ENSMUSG00000069601 Ank3 Ank3
ENSMUSG00000040351 Ankib1 Ankib1
ENSMUSG00000035569 Ankrd11 Ankrd11
ENSMUSG00000034647 Ankrd12 Ankrd12
ENSMUSG00000041870 Ankrd13a Ankrd13a
ENSMUSG00000037907 Ankrd13b Ankrd13b
ENSMUSG00000007827 Ankrd26 Ankrd26
ENSMUSG00000014496 Ankrd28 Ankrd28
ENSMUSG00000020864 Ankrd40 Ankrd40
ENSMUSG00000052331 Ankrd44 Ankrd44
ENSMUSG00000044835 Ankrd45 Ankrd45
ENSMUSG00000048307 Ankrd46 Ankrd46
ENSMUSG00000031931 Ankrd49 Ankrd49
ENSMUSG00000058589 Anks1b Anks1b
ENSMUSG00000036777 Anln Anln
ENSMUSG00000037949 Ano10 Ano10
ENSMUSG00000035189 Ano4 Ano4
ENSMUSG00000034863 Ano8 Ano8
ENSMUSG00000033420 Antxr1 Antxr1
ENSMUSG00000029994 Anxa4 Anxa4
ENSMUSG00000027712 Anxa5 Anxa5
ENSMUSG00000060279 Ap2a1 Ap2a1
ENSMUSG00000022841 Ap2m1 Ap2m1
ENSMUSG00000008036 Ap2s1 Ap2s1
ENSMUSG00000062444 Ap3b2 Ap3b2
ENSMUSG00000021824 Ap3m1 Ap3m1
ENSMUSG00000063801 Ap3s2 Ap3s2
ENSMUSG00000036291 Ap5m1 Ap5m1
ENSMUSG00000039623 Ap5z1 Ap5z1
ENSMUSG00000024897 Apba1 Apba1
ENSMUSG00000030519 Apba2 Apba2
ENSMUSG00000037032 Apbb1 Apbb1
ENSMUSG00000026786 Apbb1ip Apbb1ip
ENSMUSG00000029207 Apbb2 Apbb2
ENSMUSG00000005871 Apc Apc
ENSMUSG00000015750 Aph1a Aph1a
ENSMUSG00000027193 Api5 Api5
ENSMUSG00000037010 Apln Apln
ENSMUSG00000006651 Aplp1 Aplp1
ENSMUSG00000031996 Aplp2 Aplp2
ENSMUSG00000032080 Apoa4 Apoa4
ENSMUSG00000040564 Apoc1 Apoc1
ENSMUSG00000032081 Apoc3 Apoc3
ENSMUSG00000022548 Apod Apod
ENSMUSG00000002985 Apoe Apoe
ENSMUSG00000022892 App App
ENSMUSG00000018481 Appbp2 Appbp2
ENSMUSG00000020263 Appl2 Appl2
ENSMUSG00000032812 Arap1 Arap1
ENSMUSG00000037999 Arap2 Arap2
ENSMUSG00000022602 Arc Arc
ENSMUSG00000042350 Arel1 Arel1
ENSMUSG00000048076 Arf1 Arf1
ENSMUSG00000054277 Arfgap3 Arfgap3
ENSMUSG00000067851 Arfgef1 Arfgef1
ENSMUSG00000074582 Arfgef2 Arfgef2
ENSMUSG00000074513 Arfip1 Arfip1
ENSMUSG00000030766 Arhgap17 Arhgap17
ENSMUSG00000049807 Arhgap23 Arhgap23
ENSMUSG00000039831 Arhgap29 Arhgap29
ENSMUSG00000048865 Arhgap30 Arhgap30
ENSMUSG00000022799 Arhgap31 Arhgap31
ENSMUSG00000036882 Arhgap33 Arhgap33
ENSMUSG00000033697 Arhgap39 Arhgap39
ENSMUSG00000035133 Arhgap5 Arhgap5
ENSMUSG00000025132 Arhgdia Arhgdia
ENSMUSG00000071176 Arhgef10 Arhgef10
ENSMUSG00000059495 Arhgef12 Arhgef12
ENSMUSG00000028919 Arhgef19 Arhgef19
ENSMUSG00000028059 Arhgef2 Arhgef2
ENSMUSG00000036885 Arhgef26 Arhgef26
ENSMUSG00000021662 Arhgef28 Arhgef28
ENSMUSG00000021895 Arhgef3 Arhgef3
ENSMUSG00000025656 Arhgef9 Arhgef9
ENSMUSG00000039219 Arid4b Arid4b
ENSMUSG00000037447 Arid5a Arid5a
ENSMUSG00000019947 Arid5b Arid5b
ENSMUSG00000025234 Arih1 Arih1
ENSMUSG00000064145 Arih2 Arih2
ENSMUSG00000022911 Arl13b Arl13b
ENSMUSG00000024944 Arl2 Arl2
ENSMUSG00000034936 Arl4d Arl4d
ENSMUSG00000030654 Arl6ip1 Arl6ip1
ENSMUSG00000026426 Arl8a Arl8a
ENSMUSG00000030105 Arl8b Arl8b
ENSMUSG00000027599 Armc1 Armc1
ENSMUSG00000037683 Armc3 Armc3
ENSMUSG00000042178 Armc5 Armc5
ENSMUSG00000015709 Arnt2 Arnt2
ENSMUSG00000029621 Arpc1a Arpc1a
ENSMUSG00000029622 Arpc1b Arpc1b
ENSMUSG00000008475 Arpc5 Arpc5
ENSMUSG00000007656 Arpp19 Arpp19
ENSMUSG00000002910 Arrdc2 Arrdc2
ENSMUSG00000074794 Arrdc3 Arrdc3
ENSMUSG00000020604 Arsg Arsg
ENSMUSG00000021592 Arsk Arsk
ENSMUSG00000034842 Art3 Art3
ENSMUSG00000024887 Asah2 Asah2
ENSMUSG00000026311 Asb1 Asb1
ENSMUSG00000030509 Asb7 Asb7
ENSMUSG00000048175 Asb8 Asb8
ENSMUSG00000019857 Asf1a Asf1a
ENSMUSG00000031575 Ash2l Ash2l
ENSMUSG00000020774 Aspa Aspa
ENSMUSG00000046378 Asphd1 Asphd1
ENSMUSG00000029348 Asphd2 Asphd2
ENSMUSG00000024654 Asrgl1 Asrgl1
ENSMUSG00000045215 Asxl3 Asxl3
ENSMUSG00000013662 Atad1 Atad1
ENSMUSG00000052812 Atad2b Atad2b
ENSMUSG00000024426 Atat1 Atat1
ENSMUSG00000034958 Atcay Atcay
ENSMUSG00000026663 Atf6 Atf6
ENSMUSG00000015461 Atf6b Atf6b
ENSMUSG00000099083 Atf7 Atf7
ENSMUSG00000027244 Atg13 Atg13
ENSMUSG00000024773 Atg2a Atg2a
ENSMUSG00000041341 Atg2b Atg2b
ENSMUSG00000022663 Atg3 Atg3
ENSMUSG00000079418 Atg4a Atg4a
ENSMUSG00000028550 Atg4c Atg4c
ENSMUSG00000002820 Atg4d Atg4d
ENSMUSG00000030314 Atg7 Atg7
ENSMUSG00000021066 Atl1 Atl1
ENSMUSG00000024759 Atl3 Atl3
ENSMUSG00000031441 Atp11a Atp11a
ENSMUSG00000033161 Atp1a1 Atp1a1
ENSMUSG00000007097 Atp1a2 Atp1a2
ENSMUSG00000032412 Atp1b3 Atp1b3
ENSMUSG00000029467 Atp2a2 Atp2a2
ENSMUSG00000019943 Atp2b1 Atp2b1
ENSMUSG00000032570 Atp2c1 Atp2c1
ENSMUSG00000025393 Atp5b Atp5b
ENSMUSG00000034566 Atp5h Atp5h
ENSMUSG00000116933 Atp5o Atp5o
ENSMUSG00000022956 Atp5o Atp5o
ENSMUSG00000019087 Atp6ap1 Atp6ap1
ENSMUSG00000031007 Atp6ap2 Atp6ap2
ENSMUSG00000019302 Atp6v0a1 Atp6v0a1
ENSMUSG00000038023 Atp6v0a2 Atp6v0a2
ENSMUSG00000033379 Atp6v0b Atp6v0b
ENSMUSG00000013160 Atp6v0d1 Atp6v0d1
ENSMUSG00000015575 Atp6v0e Atp6v0e
ENSMUSG00000039347 Atp6v0e2 Atp6v0e2
ENSMUSG00000052459 Atp6v1a Atp6v1a
ENSMUSG00000006273 Atp6v1b2 Atp6v1b2
ENSMUSG00000021114 Atp6v1d Atp6v1d
ENSMUSG00000019210 Atp6v1e1 Atp6v1e1
ENSMUSG00000039105 Atp6v1g1 Atp6v1g1
ENSMUSG00000033793 Atp6v1h Atp6v1h
ENSMUSG00000033792 Atp7a Atp7a
ENSMUSG00000037685 Atp8a1 Atp8a1
ENSMUSG00000027546 Atp9a Atp9a
ENSMUSG00000032409 Atr Atr
ENSMUSG00000013622 Atraid Atraid
ENSMUSG00000027312 Atrn Atrn
ENSMUSG00000069895 Atxn1l Atxn1l
ENSMUSG00000042605 Atxn2 Atxn2
ENSMUSG00000074748 Atxn7l3b Atxn7l3b
ENSMUSG00000078584 AU022252 AU022252
ENSMUSG00000028830 AU040320 AU040320
ENSMUSG00000021460 Auh Auh
ENSMUSG00000068328 Aup1 Aup1
ENSMUSG00000029673 Auts2 Auts2
ENSMUSG00000003604 Aven Aven
ENSMUSG00000029787 Avl9 Avl9
ENSMUSG00000037727 Avp Avp
ENSMUSG00000097428 AW047730 AW047730
ENSMUSG00000041935 AW549877 AW549877
ENSMUSG00000085998 AW822252 AW822252
ENSMUSG00000002602 Axl Axl
ENSMUSG00000045767 B230219D22Rik B230219D22Rik
ENSMUSG00000060802 B2m B2m
ENSMUSG00000034780 B3galt1 B3galt1
ENSMUSG00000033849 B3galt2 B3galt2
ENSMUSG00000074892 B3galt5 B3galt5
ENSMUSG00000045994 B3gat1 B3gat1
ENSMUSG00000071649 B3gat3 B3gat3
ENSMUSG00000069920 B3gnt9 B3gnt9
ENSMUSG00000047379 B4gat1 B4gat1
ENSMUSG00000032086 Bace1 Bace1
ENSMUSG00000040605 Bace2 Bace2
ENSMUSG00000025612 Bach1 Bach1
ENSMUSG00000040270 Bach2 Bach2
ENSMUSG00000037316 Bag4 Bag4
ENSMUSG00000024392 Bag6 Bag6
ENSMUSG00000039741 Bahcc1 Bahcc1
ENSMUSG00000032033 Barx2 Barx2
ENSMUSG00000035021 Baz1a Baz1a
ENSMUSG00000026987 Baz2b Baz2b
ENSMUSG00000084957 Bbip1 Bbip1
ENSMUSG00000006464 Bbs1 Bbs1
ENSMUSG00000067722 BC003965 BC003965
ENSMUSG00000052712 BC004004 BC004004
ENSMUSG00000019132 BC005537 BC005537
ENSMUSG00000026851 BC005624 BC005624
ENSMUSG00000078786 BC024978 BC024978
ENSMUSG00000038543 BC028528 BC028528
ENSMUSG00000074649 BC029722 BC029722
ENSMUSG00000036299 BC031181 BC031181
ENSMUSG00000004892 Bcan Bcan
ENSMUSG00000002015 Bcap31 Bcap31
ENSMUSG00000031955 Bcar1 Bcar1
ENSMUSG00000013523 Bcas1 Bcas1
ENSMUSG00000059439 Bcas3 Bcas3
ENSMUSG00000030268 Bcat1 Bcat1
ENSMUSG00000037525 Bcdin3d Bcdin3d
ENSMUSG00000060376 Bckdha Bckdha
ENSMUSG00000032263 Bckdhb Bckdhb
ENSMUSG00000028191 Bcl10 Bcl10
ENSMUSG00000007659 Bcl2l1 Bcl2l1
ENSMUSG00000003190 Bcl2l12 Bcl2l12
ENSMUSG00000089682 Bcl2l2 Bcl2l2
ENSMUSG00000022508 Bcl6 Bcl6
ENSMUSG00000029438 Bcl7a Bcl7a
ENSMUSG00000063382 Bcl9l Bcl9l
ENSMUSG00000036959 Bcorl1 Bcorl1
ENSMUSG00000046598 Bdh1 Bdh1
ENSMUSG00000035086 Becn1 Becn1
ENSMUSG00000032757 Bet1 Bet1
ENSMUSG00000025484 Bet1l Bet1l
ENSMUSG00000042750 Bex2 Bex2
ENSMUSG00000032556 Bfsp2 Bfsp2
ENSMUSG00000030256 Bhlhe41 Bhlhe41
ENSMUSG00000014329 Bicc1 Bicc1
ENSMUSG00000003452 Bicd1 Bicd1
ENSMUSG00000037933 Bicd2 Bicd2
ENSMUSG00000024381 Bin1 Bin1
ENSMUSG00000030528 Blm Blm
ENSMUSG00000020840 Blmh Blmh
ENSMUSG00000090247 Bloc1s1 Bloc1s1
ENSMUSG00000057506 Bloc1s2 Bloc1s2
ENSMUSG00000026577 Blzf1 Blzf1
ENSMUSG00000040093 Bmf Bmf
ENSMUSG00000026739 Bmi1 Bmi1
ENSMUSG00000022098 Bmp1 Bmp1
ENSMUSG00000027358 Bmp2 Bmp2
ENSMUSG00000034663 Bmp2k Bmp2k
ENSMUSG00000021835 Bmp4 Bmp4
ENSMUSG00000078566 Bnip3 Bnip3
ENSMUSG00000022051 Bnip3l Bnip3l
ENSMUSG00000061755 Bod1l Bod1l
ENSMUSG00000047721 Bola2 Bola2
ENSMUSG00000022557 Bop1 Bop1
ENSMUSG00000038871 Bpgm Bpgm
ENSMUSG00000026617 Bpnt1 Bpnt1
ENSMUSG00000029458 Brap Brap
ENSMUSG00000000148 Brat1 Brat1
ENSMUSG00000017146 Brca1 Brca1
ENSMUSG00000031201 Brcc3 Brcc3
ENSMUSG00000026918 Brd3 Brd3
ENSMUSG00000031660 Brd7 Brd7
ENSMUSG00000029279 Brdt Brdt
ENSMUSG00000011158 Brf1 Brf1
ENSMUSG00000033940 Brk1 Brk1
ENSMUSG00000080268 Brms1 Brms1
ENSMUSG00000012076 Brms1l Brms1l
ENSMUSG00000046836 Brox Brox
ENSMUSG00000035390 Brsk1 Brsk1
ENSMUSG00000053046 Brsk2 Brsk2
ENSMUSG00000063663 Brwd3 Brwd3
ENSMUSG00000040859 Bsdc1 Bsdc1
ENSMUSG00000111375 Btbd8 Btbd8
ENSMUSG00000021900 Btd Btd
ENSMUSG00000066979 Bub3 Bub3
ENSMUSG00000038722 Bud31 Bud31
ENSMUSG00000051223 Bzw1 Bzw1
ENSMUSG00000050334 C130071C03Rik C130071C03Rik
ENSMUSG00000048970 C1galt1c1 C1galt1c1
ENSMUSG00000036887 C1qa C1qa
ENSMUSG00000036905 C1qb C1qb
ENSMUSG00000036896 C1qc C1qc
ENSMUSG00000049630 C1ql3 C1ql3
ENSMUSG00000084915 C230037L18Rik C230037L18Rik
ENSMUSG00000073418 C4b C4b
ENSMUSG00000084910 C630043F03Rik C630043F03Rik
ENSMUSG00000036707 Cab39 Cab39
ENSMUSG00000021981 Cab39l Cab39l
ENSMUSG00000024112 Cacna1h Cacna1h
ENSMUSG00000040118 Cacna2d1 Cacna2d1
ENSMUSG00000017412 Cacnb4 Cacnb4
ENSMUSG00000069806 Cacng7 Cacng7
ENSMUSG00000064115 Cadm2 Cadm2
ENSMUSG00000054793 Cadm4 Cadm4
ENSMUSG00000054423 Cadps Cadps
ENSMUSG00000023055 Calcoco1 Calcoco1
ENSMUSG00000029761 Cald1 Cald1
ENSMUSG00000001175 Calm1 Calm1
ENSMUSG00000036438 Calm2 Calm2
ENSMUSG00000019370 Calm3 Calm3
ENSMUSG00000003814 Calr Calr
ENSMUSG00000029767 Calu Calu
ENSMUSG00000051146 Camk2n2 Camk2n2
ENSMUSG00000071037 Camkmt Camkmt
ENSMUSG00000014592 Camta1 Camta1
ENSMUSG00000020368 Canx Canx
ENSMUSG00000028656 Cap1 Cap1
ENSMUSG00000037326 Capn15 Capn15
ENSMUSG00000026509 Capn2 Capn2
ENSMUSG00000035547 Capn5 Capn5
ENSMUSG00000067276 Capn6 Capn6
ENSMUSG00000001794 Capns1 Capns1
ENSMUSG00000027184 Caprin1 Caprin1
ENSMUSG00000003273 Car11 Car11
ENSMUSG00000038526 Car14 Car14
ENSMUSG00000027562 Car2 Car2
ENSMUSG00000027559 Car3 Car3
ENSMUSG00000028463 Car9 Car9
ENSMUSG00000008393 Carhsp1 Carhsp1
